spkt,spkid
-3.229933333333321,752
-3.2299000000000433,4400
-3.2299000000000007,5356
-3.2298999999999998,2353
-3.229866666666666,142
-3.2298666666666627,3346
-3.2297999999999973,2095
-3.2297666666666665,2408
-3.2297666666666647,5456
-3.229766666666663,5403
-3.2296999999999993,5137
-3.229699999999994,5207
-3.2296666666666667,2637
-3.2296666666666667,3653
-3.2296333333333322,3974
-3.2296333333333322,5490
-3.229600000000005,3683
-3.229566666666642,3912
-3.229533333333336,1032
-3.229533333333336,4281
-3.2295333333333325,2797
-3.2295333333333307,3362
-3.2295000000000016,3830
-3.2295,2351
-3.229466666666667,2676
-3.2294666666666654,3354
-3.2294333333333327,1769
-3.2293999999999983,1776
-3.229333333333331,3344
-3.2293333333333294,5244
-3.2292999999999985,5485
-3.2292666666666676,5425
-3.2292666666666605,2034
-3.229233333333333,3821
-3.229233333333333,3827
-3.229233333333326,1286
-3.2291999999999987,4859
-3.229166666666666,2391
-3.229133333333337,2480
-3.229066666666668,2125
-3.2289666666665653,1538
-3.228933333333332,5351
-3.2289333333333303,2120
-3.2289,1873
-3.228899999999996,3383
-3.228866666666665,2686
-3.228833333333334,4677
-3.2287999999999997,1163
-3.2287333333333343,3648
-3.228733333333331,3339
-3.228733333333331,3943
-3.228733333333331,5172
-3.2287000000000035,2088
-3.2287,993
-3.2286999999999964,5416
-3.2286666666666655,1157
-3.2286,4574
-3.2285333333333313,2506
-3.228500000000004,2050
-3.228500000000004,3934
-3.228499999999997,1121
-3.228399999999999,3348
-3.2283999999999935,2847
-3.228366666666666,2447
-3.228366666666666,3071
-3.228366666666666,5530
-3.2283333333333317,1161
-3.228333333333296,566
-3.2283000000000186,3210
-3.228300000000001,4689
-3.2282999999999973,4894
-3.22826666666667,2495
-3.2282666666666664,2705
-3.2282666666666646,5466
-3.228266666666663,1268
-3.228266666666663,1903
-3.2282333333333355,4147
-3.2282333333333284,1328
-3.2281999999999975,2678
-3.228133333333332,5456
-3.2281333333332896,223
-3.2280999999999977,2684
-3.2280333333333324,2677
-3.2280333333333147,3501
-3.2280000000000015,4012
-3.22796666666666,2513
-3.2279333333333327,4512
