,trial_label,trial_path,sec,weight,saveFolder,simLabel,epsp,loc
0,grid_search_00000,/Users/romanbaravalle/Documents/Channelopathie...,apic_0,0.0001,./grid_batch,grid_search_00000,0.100785,0.5
1,grid_search_00001,/Users/romanbaravalle/Documents/Channelopathie...,apic_1,0.0001,./grid_batch,grid_search_00001,0.095479,0.5
2,grid_search_00002,/Users/romanbaravalle/Documents/Channelopathie...,apic_10,0.0001,./grid_batch,grid_search_00002,0.077418,0.5
3,grid_search_00003,/Users/romanbaravalle/Documents/Channelopathie...,apic_100,0.0001,./grid_batch,grid_search_00003,0.009911,0.5
4,grid_search_00004,/Users/romanbaravalle/Documents/Channelopathie...,apic_101,0.0001,./grid_batch,grid_search_00004,0.009141,0.5
5,grid_search_00005,/Users/romanbaravalle/Documents/Channelopathie...,apic_102,0.0001,./grid_batch,grid_search_00005,0.009141,0.5
6,grid_search_00006,/Users/romanbaravalle/Documents/Channelopathie...,apic_103,0.0001,./grid_batch,grid_search_00006,0.012559,0.5
7,grid_search_00007,/Users/romanbaravalle/Documents/Channelopathie...,apic_104,0.0001,./grid_batch,grid_search_00007,0.013035,0.5
8,grid_search_00008,/Users/romanbaravalle/Documents/Channelopathie...,apic_105,0.0001,./grid_batch,grid_search_00008,0.012778,0.5
9,grid_search_00009,/Users/romanbaravalle/Documents/Channelopathie...,apic_106,0.0001,./grid_batch,grid_search_00009,0.012222,0.5
10,grid_search_00010,/Users/romanbaravalle/Documents/Channelopathie...,apic_107,0.0001,./grid_batch,grid_search_00010,0.008907,0.5
11,grid_search_00011,/Users/romanbaravalle/Documents/Channelopathie...,apic_108,0.0001,./grid_batch,grid_search_00011,0.005865,0.5
12,grid_search_00012,/Users/romanbaravalle/Documents/Channelopathie...,apic_109,0.0001,./grid_batch,grid_search_00012,0.005611,0.5
13,grid_search_00013,/Users/romanbaravalle/Documents/Channelopathie...,apic_11,0.0001,./grid_batch,grid_search_00013,0.077462,0.5
14,grid_search_00014,/Users/romanbaravalle/Documents/Channelopathie...,apic_110,0.0001,./grid_batch,grid_search_00014,0.005611,0.5
15,grid_search_00015,/Users/romanbaravalle/Documents/Channelopathie...,apic_111,0.0001,./grid_batch,grid_search_00015,0.005939,0.5
16,grid_search_00016,/Users/romanbaravalle/Documents/Channelopathie...,apic_112,0.0001,./grid_batch,grid_search_00016,0.01276,0.5
17,grid_search_00017,/Users/romanbaravalle/Documents/Channelopathie...,apic_113,0.0001,./grid_batch,grid_search_00017,0.077811,0.5
18,grid_search_00018,/Users/romanbaravalle/Documents/Channelopathie...,apic_114,0.0001,./grid_batch,grid_search_00018,0.095457,0.5
19,grid_search_00019,/Users/romanbaravalle/Documents/Channelopathie...,apic_115,0.0001,./grid_batch,grid_search_00019,0.093177,0.5
20,grid_search_00020,/Users/romanbaravalle/Documents/Channelopathie...,apic_116,0.0001,./grid_batch,grid_search_00020,0.092801,0.5
21,grid_search_00021,/Users/romanbaravalle/Documents/Channelopathie...,apic_117,0.0001,./grid_batch,grid_search_00021,0.092054,0.5
22,grid_search_00022,/Users/romanbaravalle/Documents/Channelopathie...,apic_118,0.0001,./grid_batch,grid_search_00022,0.088351,0.5
23,grid_search_00023,/Users/romanbaravalle/Documents/Channelopathie...,apic_119,0.0001,./grid_batch,grid_search_00023,0.087594,0.5
24,grid_search_00024,/Users/romanbaravalle/Documents/Channelopathie...,apic_12,0.0001,./grid_batch,grid_search_00024,0.080491,0.5
25,grid_search_00025,/Users/romanbaravalle/Documents/Channelopathie...,apic_120,0.0001,./grid_batch,grid_search_00025,0.089358,0.5
26,grid_search_00026,/Users/romanbaravalle/Documents/Channelopathie...,apic_121,0.0001,./grid_batch,grid_search_00026,0.090273,0.5
27,grid_search_00027,/Users/romanbaravalle/Documents/Channelopathie...,apic_122,0.0001,./grid_batch,grid_search_00027,0.092393,0.5
28,grid_search_00028,/Users/romanbaravalle/Documents/Channelopathie...,apic_13,0.0001,./grid_batch,grid_search_00028,0.078303,0.5
29,grid_search_00029,/Users/romanbaravalle/Documents/Channelopathie...,apic_14,0.0001,./grid_batch,grid_search_00029,0.078828,0.5
30,grid_search_00030,/Users/romanbaravalle/Documents/Channelopathie...,apic_15,0.0001,./grid_batch,grid_search_00030,0.077021,0.5
31,grid_search_00031,/Users/romanbaravalle/Documents/Channelopathie...,apic_16,0.0001,./grid_batch,grid_search_00031,0.078213,0.5
