,trial_label,trial_path,sec,weight,saveFolder,simLabel,epsp,loc
0,grid_search_00000,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_0,0.0001,./grid_batch,grid_search_00000,0.04982,0.5
1,grid_search_00001,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_1,0.0001,./grid_batch,grid_search_00001,0.047778,0.5
2,grid_search_00002,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_10,0.0001,./grid_batch,grid_search_00002,0.040714,0.5
3,grid_search_00003,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_100,0.0001,./grid_batch,grid_search_00003,0.007792,0.5
4,grid_search_00004,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_101,0.0001,./grid_batch,grid_search_00004,0.007501,0.5
5,grid_search_00005,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_102,0.0001,./grid_batch,grid_search_00005,0.007501,0.5
6,grid_search_00006,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_103,0.0001,./grid_batch,grid_search_00006,0.00923,0.5
7,grid_search_00007,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_104,0.0001,./grid_batch,grid_search_00007,0.009464,0.5
8,grid_search_00008,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_105,0.0001,./grid_batch,grid_search_00008,0.009328,0.5
9,grid_search_00009,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_106,0.0001,./grid_batch,grid_search_00009,0.009084,0.5
10,grid_search_00010,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_107,0.0001,./grid_batch,grid_search_00010,0.007182,0.5
11,grid_search_00011,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_108,0.0001,./grid_batch,grid_search_00011,0.005353,0.5
12,grid_search_00012,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_109,0.0001,./grid_batch,grid_search_00012,0.005258,0.5
13,grid_search_00013,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_11,0.0001,./grid_batch,grid_search_00013,0.040726,0.5
14,grid_search_00014,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_110,0.0001,./grid_batch,grid_search_00014,0.005258,0.5
15,grid_search_00015,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_111,0.0001,./grid_batch,grid_search_00015,0.005406,0.5
16,grid_search_00016,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_112,0.0001,./grid_batch,grid_search_00016,0.009353,0.5
17,grid_search_00017,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_113,0.0001,./grid_batch,grid_search_00017,0.040587,0.5
18,grid_search_00018,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_114,0.0001,./grid_batch,grid_search_00018,0.047945,0.5
19,grid_search_00019,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_115,0.0001,./grid_batch,grid_search_00019,0.047131,0.5
20,grid_search_00020,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_116,0.0001,./grid_batch,grid_search_00020,0.04699,0.5
21,grid_search_00021,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_117,0.0001,./grid_batch,grid_search_00021,0.046723,0.5
22,grid_search_00022,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_118,0.0001,./grid_batch,grid_search_00022,0.045441,0.5
23,grid_search_00023,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_119,0.0001,./grid_batch,grid_search_00023,0.045144,0.5
24,grid_search_00024,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_12,0.0001,./grid_batch,grid_search_00024,0.041794,0.5
25,grid_search_00025,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_120,0.0001,./grid_batch,grid_search_00025,0.045718,0.5
26,grid_search_00026,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_121,0.0001,./grid_batch,grid_search_00026,0.046071,0.5
27,grid_search_00027,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_122,0.0001,./grid_batch,grid_search_00027,0.0469,0.5
28,grid_search_00028,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_13,0.0001,./grid_batch,grid_search_00028,0.041014,0.5
29,grid_search_00029,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_14,0.0001,./grid_batch,grid_search_00029,0.041147,0.5
30,grid_search_00030,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_15,0.0001,./grid_batch,grid_search_00030,0.040495,0.5
31,grid_search_00031,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_16,0.0001,./grid_batch,grid_search_00031,0.040961,0.5
32,grid_search_00032,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_17,0.0001,./grid_batch,grid_search_00032,0.042154,0.5
33,grid_search_00033,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_18,0.0001,./grid_batch,grid_search_00033,0.03893,0.5
34,grid_search_00034,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_19,0.0001,./grid_batch,grid_search_00034,0.036825,0.5
35,grid_search_00035,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_2,0.0001,./grid_batch,grid_search_00035,0.044906,0.5
36,grid_search_00036,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_20,0.0001,./grid_batch,grid_search_00036,0.036581,0.5
37,grid_search_00037,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_21,0.0001,./grid_batch,grid_search_00037,0.036111,0.5
38,grid_search_00038,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_22,0.0001,./grid_batch,grid_search_00038,0.034381,0.5
39,grid_search_00039,/Users/romanbaravalle/Documents/2026/M1-M1_vip...,apic_23,0.0001,./grid_batch,grid_search_00039,0.035002,0.5
